scrape_time_utc,river_level,measurement_time
2026-01-03T07:36:07.615065Z,0.50m,2026-01-03T06:45:00Z
2026-01-03T07:46:08.570589Z,0.50m,2026-01-03T07:15:00Z
2026-01-03T08:54:36.227744Z,0.50m,2026-01-03T08:15:00Z
2026-01-03T09:41:07.169996Z,0.50m,2026-01-03T09:15:00Z
2026-01-03T10:51:03.946655Z,0.50m,2026-01-03T10:15:00Z
2026-01-03T11:37:42.366313Z,0.50m,2026-01-03T11:15:00Z
2026-01-03T13:44:32.301601Z,0.50m,2026-01-03T13:15:00Z
2026-01-03T14:44:46.290321Z,0.50m,2026-01-03T14:15:00Z
2026-01-03T15:45:01.350373Z,0.50m,2026-01-03T15:15:00Z
2026-01-03T16:54:12.370326Z,0.50m,2026-01-03T16:15:00Z
2026-01-03T17:40:35.654599Z,0.51m,2026-01-03T17:15:00Z
